Command: /home/users5/sah6489/526L/Lab11/./simv -l Lab11.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version U-2023.03-SP1_Full64; Runtime version U-2023.03-SP1_Full64;  Dec  3 21:35 2023
VCD+ Writer U-2023.03-SP1_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
                   0: data_in = 00, data_out = xx, count =          x, empty = x, almost_empty = x, full = x, almost_full = x,valid = x, overflow = x, underflow = x
                   5: data_in = 00, data_out = xx, count =          0, empty = x, almost_empty = x, full = x, almost_full = x,valid = 0, overflow = 0, underflow = 0
WRITE AND READ ALL LOCATIONS
                  25: data_in = 00, data_out = xx, count =          1, empty = 1, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  35: data_in = 00, data_out = xx, count =          1, empty = 0, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  40: data_in = 01, data_out = xx, count =          1, empty = 0, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  45: data_in = 01, data_out = xx, count =          2, empty = 0, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  60: data_in = 02, data_out = xx, count =          2, empty = 0, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  65: data_in = 02, data_out = xx, count =          3, empty = 0, almost_empty = 1, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  75: data_in = 02, data_out = xx, count =          3, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  80: data_in = 03, data_out = xx, count =          3, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                  85: data_in = 03, data_out = xx, count =          4, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 100: data_in = 04, data_out = xx, count =          4, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 105: data_in = 04, data_out = xx, count =          5, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 120: data_in = 05, data_out = xx, count =          5, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 125: data_in = 05, data_out = xx, count =          6, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 140: data_in = 06, data_out = xx, count =          6, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 145: data_in = 06, data_out = xx, count =          7, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 160: data_in = 07, data_out = xx, count =          7, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 165: data_in = 07, data_out = xx, count =          8, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 180: data_in = 08, data_out = xx, count =          8, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 185: data_in = 08, data_out = xx, count =          9, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 200: data_in = 09, data_out = xx, count =          9, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 205: data_in = 09, data_out = xx, count =         10, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 220: data_in = 0a, data_out = xx, count =         10, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 225: data_in = 0a, data_out = xx, count =         11, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 240: data_in = 0b, data_out = xx, count =         11, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 245: data_in = 0b, data_out = xx, count =         12, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 260: data_in = 0c, data_out = xx, count =         12, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 265: data_in = 0c, data_out = xx, count =         13, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 280: data_in = 0d, data_out = xx, count =         13, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 285: data_in = 0d, data_out = xx, count =         14, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 300: data_in = 0e, data_out = xx, count =         14, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 305: data_in = 0e, data_out = xx, count =         15, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 320: data_in = 0f, data_out = xx, count =         15, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 325: data_in = 0f, data_out = xx, count =         16, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 340: data_in = 10, data_out = xx, count =         16, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 345: data_in = 10, data_out = xx, count =         17, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 360: data_in = 11, data_out = xx, count =         17, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 365: data_in = 11, data_out = xx, count =         18, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 380: data_in = 12, data_out = xx, count =         18, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 385: data_in = 12, data_out = xx, count =         19, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 400: data_in = 13, data_out = xx, count =         19, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 405: data_in = 13, data_out = xx, count =         20, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 420: data_in = 14, data_out = xx, count =         20, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 425: data_in = 14, data_out = xx, count =         21, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 440: data_in = 15, data_out = xx, count =         21, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 445: data_in = 15, data_out = xx, count =         22, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 460: data_in = 16, data_out = xx, count =         22, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 465: data_in = 16, data_out = xx, count =         23, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 480: data_in = 17, data_out = xx, count =         23, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 485: data_in = 17, data_out = xx, count =         24, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 500: data_in = 18, data_out = xx, count =         24, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 505: data_in = 18, data_out = xx, count =         25, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 520: data_in = 19, data_out = xx, count =         25, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 525: data_in = 19, data_out = xx, count =         26, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 540: data_in = 1a, data_out = xx, count =         26, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 545: data_in = 1a, data_out = xx, count =         27, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 560: data_in = 1b, data_out = xx, count =         27, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 565: data_in = 1b, data_out = xx, count =         28, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 580: data_in = 1c, data_out = xx, count =         28, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 585: data_in = 1c, data_out = xx, count =         29, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 600: data_in = 1d, data_out = xx, count =         29, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 605: data_in = 1d, data_out = xx, count =         30, empty = 0, almost_empty = 0, full = 0, almost_full = 0,valid = 0, overflow = 0, underflow = 0
                 615: data_in = 1d, data_out = xx, count =         30, empty = 0, almost_empty = 0, full = 0, almost_full = 1,valid = 0, overflow = 0, underflow = 0
                 620: data_in = 1e, data_out = xx, count =         30, empty = 0, almost_empty = 0, full = 0, almost_full = 1,valid = 0, overflow = 0, underflow = 0
                 625: data_in = 1e, data_out = xx, count =         31, empty = 0, almost_empty = 0, full = 0, almost_full = 1,valid = 0, overflow = 0, underflow = 0
                 640: data_in = 1f, data_out = xx, count =         31, empty = 0, almost_empty = 0, full = 0, almost_full = 1,valid = 0, overflow = 0, underflow = 0
